DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1857.40,1865.00,1876.60,1850.00,1858.95,1850.45,1857.76,3328,487,1611,48.41
03-Aug-2016,1850.45,1859.00,1859.00,1845.95,1855.00,1850.60,1850.66,2470,353,2007,81.26
04-Aug-2016,1850.60,1851.05,1870.00,1850.00,1850.00,1850.80,1853.61,2222,282,1138,51.22
05-Aug-2016,1850.80,1860.00,1860.15,1850.00,1850.00,1851.15,1851.40,3235,248,2291,70.82
08-Aug-2016,1851.15,1859.95,1888.00,1854.00,1874.00,1872.25,1868.01,2708,478,1225,45.24
09-Aug-2016,1872.25,1875.00,1893.95,1850.00,1855.00,1852.40,1868.00,3841,466,2720,70.81
10-Aug-2016,1852.40,1854.10,1867.00,1850.00,1860.00,1850.50,1855.55,3331,607,2354,70.67
11-Aug-2016,1850.50,1864.00,1909.00,1850.00,1900.00,1883.80,1865.45,8341,1332,4118,49.37
12-Aug-2016,1883.80,1900.00,1926.00,1863.00,1895.05,1897.75,1901.94,10106,1410,3740,37.01
16-Aug-2016,1897.75,1897.00,1944.00,1895.00,1898.25,1898.85,1913.35,8408,1481,3816,45.39
17-Aug-2016,1898.85,1917.95,1927.95,1891.25,1910.05,1920.05,1918.40,19995,1088,10808,54.05
18-Aug-2016,1920.05,1925.00,1933.95,1916.25,1920.00,1920.10,1921.28,2039,190,1249,61.26
19-Aug-2016,1920.10,1920.00,1932.30,1910.00,1920.00,1917.40,1919.57,4037,292,3515,87.07
22-Aug-2016,1917.40,1934.90,1935.05,1921.00,1926.00,1926.35,1926.42,11974,642,10014,83.63
23-Aug-2016,1926.35,1911.00,1940.95,1911.00,1925.00,1926.45,1929.03,3926,242,3317,84.49
24-Aug-2016,1926.45,1924.00,1962.90,1901.55,1950.00,1946.10,1941.83,3290,619,1667,50.67
25-Aug-2016,1946.10,1953.95,2035.00,1953.00,2025.00,2005.50,1982.34,10236,1153,7020,68.58
26-Aug-2016,2005.50,2037.70,2125.70,2016.05,2097.00,2075.25,2064.59,16894,2036,11146,65.98
29-Aug-2016,2075.25,2100.00,2108.00,2011.10,2094.95,2097.70,2072.41,7928,1638,3801,47.94
30-Aug-2016,2097.70,2099.90,2200.00,2052.00,2150.05,2149.35,2122.47,129120,5108,118195,91.54
31-Aug-2016,2149.35,2181.60,2198.90,2136.70,2175.05,2175.75,2170.88,6719,921,3853,57.34
01-Sep-2016,2175.75,2175.75,2199.00,2171.00,2194.00,2196.15,2193.84,12511,988,7836,62.63
02-Sep-2016,2196.15,2198.70,2277.00,2189.00,2260.90,2246.80,2238.86,33953,2388,18855,55.53
06-Sep-2016,2246.80,2273.90,2420.00,2252.00,2396.00,2398.15,2374.28,41755,6032,18883,45.22
07-Sep-2016,2398.15,2415.00,2444.00,2353.00,2364.90,2356.30,2376.44,32108,5359,20102,62.61
08-Sep-2016,2356.30,2356.40,2375.00,2339.00,2339.00,2341.45,2349.50,12416,2099,8783,70.74
09-Sep-2016,2341.45,2353.00,2372.45,2333.00,2348.00,2344.80,2344.59,11117,1862,8036,72.29
12-Sep-2016,2344.80,224.00,249.80,223.00,242.00,241.45,242.32,302622,9533,103656,34.25
14-Sep-2016,241.45,241.80,244.45,237.50,240.00,239.80,240.79,81476,3431,45513,55.86
15-Sep-2016,239.80,239.00,240.25,227.00,230.70,230.80,232.39,94714,2804,57778,61.00
16-Sep-2016,230.80,237.90,237.90,224.00,226.20,225.70,230.15,95154,2494,55934,58.78
19-Sep-2016,225.70,229.50,234.40,224.00,224.40,224.40,228.34,127469,4280,80202,62.92
20-Sep-2016,224.40,225.00,229.90,218.50,219.00,219.45,221.63,84931,4110,58439,68.81
21-Sep-2016,219.45,219.45,221.00,213.60,215.65,214.80,217.04,98355,5830,63342,64.40
22-Sep-2016,214.80,220.00,220.00,212.00,213.10,212.50,214.31,100105,4029,69030,68.96
23-Sep-2016,212.50,216.60,217.45,211.10,212.00,212.05,213.85,73714,2352,41598,56.43
