DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,650.40,650.00,656.90,644.30,648.40,646.95,652.98,13587,660,11187,82.34
03-Aug-2016,646.95,650.00,655.00,640.25,644.95,642.65,647.01,8789,813,5607,63.80
04-Aug-2016,642.65,643.00,649.00,640.60,641.00,642.50,644.71,3954,303,2777,70.23
05-Aug-2016,642.50,640.00,641.75,631.00,631.00,633.70,634.52,36495,1906,31720,86.92
08-Aug-2016,633.70,635.00,635.00,620.25,625.00,625.65,629.08,23566,1103,20299,86.14
09-Aug-2016,625.65,626.00,630.00,622.05,625.00,626.95,627.20,13673,481,12323,90.13
10-Aug-2016,626.95,640.00,640.00,595.00,616.85,607.40,607.77,39308,2447,28245,71.86
11-Aug-2016,607.40,616.85,625.00,615.00,616.00,616.50,619.85,20629,1153,15439,74.84
12-Aug-2016,616.50,622.00,634.00,617.00,620.00,619.60,621.31,10524,975,7385,70.17
16-Aug-2016,619.60,620.00,620.00,611.00,615.00,614.55,614.99,21172,355,20591,97.26
17-Aug-2016,614.55,616.20,616.20,596.00,602.00,600.00,603.11,55258,2646,49689,89.92
18-Aug-2016,600.00,606.90,606.90,595.05,599.00,598.70,599.42,16436,824,13578,82.61
19-Aug-2016,598.70,601.00,604.90,593.00,598.95,594.20,594.11,168469,2750,117211,69.57
22-Aug-2016,594.20,600.00,643.70,588.00,623.00,622.60,624.42,38870,2964,18263,46.98
23-Aug-2016,622.60,624.75,628.80,606.60,616.00,615.45,618.20,9205,948,5707,62.00
