DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,470.30,478.00,478.00,458.30,461.20,461.30,463.55,63329,2795,54887,86.67
03-Aug-2016,461.30,468.00,469.90,454.00,461.00,455.40,457.96,177241,3108,166733,94.07
04-Aug-2016,455.40,469.00,469.00,454.80,459.45,457.50,459.96,44005,6965,28405,64.55
05-Aug-2016,457.50,463.00,463.00,454.60,455.20,456.95,457.97,18415,1517,10047,54.56
08-Aug-2016,456.95,460.45,461.95,455.00,458.00,456.75,457.38,16219,988,11212,69.13
09-Aug-2016,456.75,459.90,460.70,454.00,456.00,455.10,456.19,16432,1384,10274,62.52
10-Aug-2016,455.10,455.05,460.00,452.70,455.05,455.30,455.11,72239,2160,66193,91.63
11-Aug-2016,455.30,460.00,460.00,450.70,455.50,455.20,453.36,17026,1619,13077,76.81
12-Aug-2016,455.20,450.05,457.95,450.05,455.50,455.05,454.62,28108,1554,24096,85.73
16-Aug-2016,455.05,458.75,458.75,452.05,455.00,455.15,455.21,15345,1284,12711,82.83
17-Aug-2016,455.15,451.35,468.15,451.35,459.00,459.40,462.27,45127,2505,24445,54.17
18-Aug-2016,459.40,455.05,465.00,455.05,458.60,458.15,458.92,18610,2245,12582,67.61
19-Aug-2016,458.15,458.00,460.00,457.35,459.00,458.90,458.87,28496,936,21804,76.52
22-Aug-2016,458.90,466.00,466.00,441.20,460.00,459.85,455.88,38595,1080,27477,71.19
23-Aug-2016,459.85,457.20,462.00,457.20,462.00,460.10,460.15,33157,910,29847,90.02
24-Aug-2016,460.10,465.00,484.90,460.00,481.20,482.30,475.41,65086,4564,37092,56.99
25-Aug-2016,482.30,486.95,493.90,471.30,472.00,473.90,482.42,84782,5250,43711,51.56
26-Aug-2016,473.90,470.15,497.50,450.10,463.00,460.50,476.59,680084,21182,206382,30.35
29-Aug-2016,460.50,479.85,479.85,466.25,474.55,473.40,472.61,107291,3963,38605,35.98
30-Aug-2016,473.40,476.00,485.00,473.50,477.50,477.90,480.45,84982,3736,58115,68.39
31-Aug-2016,477.90,485.25,486.60,479.30,486.25,485.90,484.47,47973,2412,33478,69.79
01-Sep-2016,485.90,487.00,487.00,477.15,481.35,482.00,482.26,29410,1928,20331,69.13
02-Sep-2016,482.00,482.40,482.55,459.90,474.20,465.45,470.21,37891,2146,22962,60.60
06-Sep-2016,465.45,468.90,473.45,465.20,471.75,471.50,470.63,31981,1051,25899,80.98
07-Sep-2016,471.50,475.00,477.80,468.75,470.50,470.95,471.18,52731,1404,45042,85.42
08-Sep-2016,470.95,470.50,474.75,468.00,474.00,472.10,471.09,63469,833,60427,95.21
09-Sep-2016,472.10,473.80,476.70,467.00,471.40,470.55,468.63,49209,1212,43347,88.09
12-Sep-2016,470.55,469.00,469.95,462.00,467.00,468.80,467.76,31444,1679,23833,75.80
14-Sep-2016,468.80,473.50,475.45,466.05,471.00,469.50,468.15,186632,1083,177350,95.03
15-Sep-2016,469.50,466.20,484.90,466.20,483.00,480.25,475.84,44347,2490,25268,56.98
16-Sep-2016,480.25,483.00,485.85,473.15,477.05,476.75,481.44,38708,3047,21944,56.69
19-Sep-2016,476.75,476.75,479.35,468.80,471.00,470.75,470.26,200574,1397,195042,97.24
20-Sep-2016,470.75,476.50,476.50,470.00,472.80,472.50,471.92,12721,941,8194,64.41
21-Sep-2016,472.50,476.00,484.30,469.00,476.80,476.25,477.75,32096,2085,14485,45.13
22-Sep-2016,476.25,480.05,480.05,465.00,465.40,467.40,470.65,24343,1340,17951,73.74
23-Sep-2016,467.40,471.80,474.30,463.35,468.85,465.80,467.02,89685,2477,75135,83.78
26-Sep-2016,465.80,466.00,472.00,455.65,464.85,460.00,462.29,56053,1897,47005,83.86
27-Sep-2016,460.00,462.45,465.90,458.75,465.00,461.00,461.47,22915,1616,15785,68.89
28-Sep-2016,461.00,468.00,468.00,455.00,455.30,455.95,458.01,29598,1773,24580,83.05
29-Sep-2016,455.95,456.00,468.45,444.00,455.00,455.05,454.73,92602,3445,73537,79.41
30-Sep-2016,455.05,450.00,453.65,448.50,451.65,451.05,450.27,46087,3181,38033,82.52
03-Oct-2016,451.05,451.75,465.00,450.00,456.00,454.95,453.80,65205,6985,49853,76.46
04-Oct-2016,454.95,454.95,459.00,451.00,456.00,457.15,455.83,14969,1494,11570,77.29
05-Oct-2016,457.15,460.00,462.00,451.00,462.00,459.45,457.31,25142,1520,20859,82.96
06-Oct-2016,459.45,455.00,461.00,453.20,458.05,457.95,458.07,22730,2166,16023,70.49
07-Oct-2016,457.95,458.00,470.00,458.00,469.90,468.55,463.83,41268,2336,31925,77.36
10-Oct-2016,468.55,468.00,472.00,459.65,460.05,460.35,461.86,44353,1420,38596,87.02
13-Oct-2016,460.35,456.65,466.00,455.10,463.25,464.75,463.35,45306,1836,37741,83.30
14-Oct-2016,464.75,460.20,466.75,455.75,458.00,459.20,459.23,9651,981,5625,58.28
17-Oct-2016,459.20,462.00,464.00,452.50,457.00,456.90,457.39,63458,2441,54583,86.01
18-Oct-2016,456.90,456.00,465.00,451.30,462.00,460.80,459.15,151058,3092,129684,85.85
19-Oct-2016,460.80,455.10,464.60,449.30,456.75,455.25,453.23,86596,9926,67371,77.80
20-Oct-2016,455.25,461.00,463.00,453.00,458.00,455.10,456.74,33673,1845,21372,63.47
21-Oct-2016,455.10,454.90,464.85,446.05,456.00,456.30,456.40,33564,2396,20585,61.33
24-Oct-2016,456.30,452.50,463.00,452.00,463.00,460.40,457.00,25217,3238,17454,69.22
25-Oct-2016,460.40,452.50,463.00,452.50,455.00,456.00,457.51,14744,1791,9835,66.71
26-Oct-2016,456.00,456.05,458.30,452.10,453.00,453.35,454.19,12710,778,8112,63.82
27-Oct-2016,453.35,455.05,458.30,451.10,453.00,453.95,454.26,14160,2744,9359,66.09
28-Oct-2016,453.95,443.25,455.05,443.25,449.10,450.40,451.70,14419,1572,9791,67.90
30-Oct-2016,450.40,456.00,465.00,456.00,464.60,463.15,461.85,13182,678,9047,68.63
01-Nov-2016,463.15,456.50,460.00,452.05,457.00,457.30,456.73,18441,2311,12167,65.98
02-Nov-2016,457.30,452.10,455.00,450.00,451.30,450.95,451.15,39927,2969,31963,80.05
03-Nov-2016,450.95,450.05,454.90,450.05,452.00,452.00,452.45,22926,1783,19246,83.95
04-Nov-2016,452.00,450.15,452.65,438.25,444.50,443.90,445.26,20266,1871,16460,81.22
07-Nov-2016,443.90,460.00,460.00,445.00,446.00,445.85,446.00,9011,939,6667,73.99
08-Nov-2016,445.85,455.00,455.00,441.00,444.55,444.25,445.04,12390,1319,9358,75.53
09-Nov-2016,444.25,425.00,450.55,406.25,444.20,446.15,434.06,31675,2456,22342,70.54
10-Nov-2016,446.15,448.50,465.00,442.70,452.00,453.35,454.20,14943,1255,9036,60.47
11-Nov-2016,453.35,451.00,455.00,422.60,432.50,433.65,434.37,36514,2881,25183,68.97
15-Nov-2016,433.65,448.00,487.10,407.00,415.05,415.30,415.48,61168,4581,49215,80.46
16-Nov-2016,415.30,410.55,429.50,410.55,411.05,413.30,416.47,23723,2545,17832,75.17
17-Nov-2016,413.30,415.00,421.80,396.50,398.05,399.90,400.55,150469,2807,127149,84.50
18-Nov-2016,399.90,404.00,410.00,396.00,409.00,408.30,401.23,71921,1455,66290,92.17
21-Nov-2016,408.30,410.00,415.10,381.00,388.00,388.05,390.60,152050,9885,137879,90.68
22-Nov-2016,388.05,390.00,424.40,390.00,415.00,416.85,409.00,58205,1940,41271,70.91
